"region";"statistikkvariabel";"tid";"Folkemengd og kvartalsvise endringar, etter region, statistikkvariabel og tid"
"0101 Halden";"Folketalet ved inngangen av kvartalet";"2015K4";30484
"0101 Halden";"Fødde";"2015K4";66
"0101 Halden";"Døde";"2015K4";66
"0101 Halden";"Fødselsoverskot";"2015K4";0
"0101 Halden";"Innvandring";"2015K4";65
"0101 Halden";"Utvandring";"2015K4";58
"0101 Halden";"Innflytting, innalandsk";"2015K4";285
"0101 Halden";"Utflytting, innalandsk";"2015K4";231
"0101 Halden";"Nettoinnflytting, inkl. inn- og utvandring";"2015K4";61
"0101 Halden";"Folkevekst";"2015K4";60
"0101 Halden";"Folketalet ved utgangen av kvartalet";"2015K4";30544
"0104 Moss";"Folketalet ved inngangen av kvartalet";"2015K4";32103
"0104 Moss";"Fødde";"2015K4";79
"0104 Moss";"Døde";"2015K4";75
"0104 Moss";"Fødselsoverskot";"2015K4";4
"0104 Moss";"Innvandring";"2015K4";77
"0104 Moss";"Utvandring";"2015K4";40
"0104 Moss";"Innflytting, innalandsk";"2015K4";476
"0104 Moss";"Utflytting, innalandsk";"2015K4";439
"0104 Moss";"Nettoinnflytting, inkl. inn- og utvandring";"2015K4";74
"0104 Moss";"Folkevekst";"2015K4";79
"0104 Moss";"Folketalet ved utgangen av kvartalet";"2015K4";32182
"0105 Sarpsborg";"Folketalet ved inngangen av kvartalet";"2015K4";54539
"0105 Sarpsborg";"Fødde";"2015K4";125
"0105 Sarpsborg";"Døde";"2015K4";114
"0105 Sarpsborg";"Fødselsoverskot";"2015K4";11
"0105 Sarpsborg";"Innvandring";"2015K4";96
"0105 Sarpsborg";"Utvandring";"2015K4";51
"0105 Sarpsborg";"Innflytting, innalandsk";"2015K4";548
"0105 Sarpsborg";"Utflytting, innalandsk";"2015K4";460
"0105 Sarpsborg";"Nettoinnflytting, inkl. inn- og utvandring";"2015K4";133
"0105 Sarpsborg";"Folkevekst";"2015K4";139
"0105 Sarpsborg";"Folketalet ved utgangen av kvartalet";"2015K4";54678
"0106 Fredrikstad";"Folketalet ved inngangen av kvartalet";"2015K4";78834
"0106 Fredrikstad";"Fødde";"2015K4";161
"0106 Fredrikstad";"Døde";"2015K4";187
"0106 Fredrikstad";"Fødselsoverskot";"2015K4";-26
"0106 Fredrikstad";"Innvandring";"2015K4";146
"0106 Fredrikstad";"Utvandring";"2015K4";84
"0106 Fredrikstad";"Innflytting, innalandsk";"2015K4";710
"0106 Fredrikstad";"Utflytting, innalandsk";"2015K4";606
"0106 Fredrikstad";"Nettoinnflytting, inkl. inn- og utvandring";"2015K4";166
"0106 Fredrikstad";"Folkevekst";"2015K4";133
"0106 Fredrikstad";"Folketalet ved utgangen av kvartalet";"2015K4";78967
"0111 Hvaler";"Folketalet ved inngangen av kvartalet";"2015K4";4505
"0111 Hvaler";"Fødde";"2015K4";4
"0111 Hvaler";"Døde";"2015K4";9
"0111 Hvaler";"Fødselsoverskot";"2015K4";-5
"0111 Hvaler";"Innvandring";"2015K4";8
"0111 Hvaler";"Utvandring";"2015K4";6
"0111 Hvaler";"Innflytting, innalandsk";"2015K4";78
"0111 Hvaler";"Utflytting, innalandsk";"2015K4";67
"0111 Hvaler";"Nettoinnflytting, inkl. inn- og utvandring";"2015K4";13
"0111 Hvaler";"Folkevekst";"2015K4";6
"0111 Hvaler";"Folketalet ved utgangen av kvartalet";"2015K4";4511
"0118 Aremark";"Folketalet ved inngangen av kvartalet";"2015K4";1398
"0118 Aremark";"Fødde";"2015K4";0
"0118 Aremark";"Døde";"2015K4";5
"0118 Aremark";"Fødselsoverskot";"2015K4";-5
"0118 Aremark";"Innvandring";"2015K4";2
"0118 Aremark";"Utvandring";"2015K4";0
"0118 Aremark";"Innflytting, innalandsk";"2015K4";31
"0118 Aremark";"Utflytting, innalandsk";"2015K4";22
"0118 Aremark";"Nettoinnflytting, inkl. inn- og utvandring";"2015K4";11
"0118 Aremark";"Folkevekst";"2015K4";6
"0118 Aremark";"Folketalet ved utgangen av kvartalet";"2015K4";1404
"0119 Marker";"Folketalet ved inngangen av kvartalet";"2015K4";3604
"0119 Marker";"Fødde";"2015K4";10
"0119 Marker";"Døde";"2015K4";10
"0119 Marker";"Fødselsoverskot";"2015K4";0
"0119 Marker";"Innvandring";"2015K4";4
"0119 Marker";"Utvandring";"2015K4";5
"0119 Marker";"Innflytting, innalandsk";"2015K4";46
"0119 Marker";"Utflytting, innalandsk";"2015K4";37
"0119 Marker";"Nettoinnflytting, inkl. inn- og utvandring";"2015K4";8
"0119 Marker";"Folkevekst";"2015K4";6
"0119 Marker";"Folketalet ved utgangen av kvartalet";"2015K4";3610
"0121 Rømskog";"Folketalet ved inngangen av kvartalet";"2015K4";673
"0121 Rømskog";"Fødde";"2015K4";0
"0121 Rømskog";"Døde";"2015K4";1
"0121 Rømskog";"Fødselsoverskot";"2015K4";-1
"0121 Rømskog";"Innvandring";"2015K4";0
"0121 Rømskog";"Utvandring";"2015K4";0
"0121 Rømskog";"Innflytting, innalandsk";"2015K4";3
"0121 Rømskog";"Utflytting, innalandsk";"2015K4";3
"0121 Rømskog";"Nettoinnflytting, inkl. inn- og utvandring";"2015K4";0
"0121 Rømskog";"Folkevekst";"2015K4";-1
"0121 Rømskog";"Folketalet ved utgangen av kvartalet";"2015K4";672
"0122 Trøgstad";"Folketalet ved inngangen av kvartalet";"2015K4";5348
"0122 Trøgstad";"Fødde";"2015K4";10
"0122 Trøgstad";"Døde";"2015K4";10
"0122 Trøgstad";"Fødselsoverskot";"2015K4";0
"0122 Trøgstad";"Innvandring";"2015K4";13
